session_id,age,sex,gender,race,citizenship,lab_or_online,us_or_international,exprace,expgender,exprunafter,compensation,recruitment,separatedornot,ethnicity,nativelang,major,location,sample,sunkgroup,sunkDV,gambfalgroup,gambfalDV,reciprocitygroup,reciprocityus,allowedforbiddenGroup,allowedforbidden,quoteGroup,quote,flagfilter,flagdv,gainlossgroup,anch1group,anch2group,anch3group,anch4group,scalesgroup,flagGroup,MoneyGroup,ContactGroup,gainlossDV,Imagineddv,anchoring1,anchoring2,anchoring3,anchoring4,Sysjust,IATexpart,IATexpmath,IATexp.overall,totexpmissed,scalesorder,reciprocorder,diseaseforder,quoteorder,flagprimorder,sunkcostorder,anchorinorder,allowedforder,gamblerforder,moneypriorder,imaginedorder,iatorder,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,flagdv1,flagdv2,flagdv3,flagdv4,flagdv5,flagdv6,flagdv7,flagdv8
3,18,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,NA,other,1,abington,1,1,3,three-six,2.23606797749979,askedfirst,0,allowed,1,0,2,1,2.625,0,low,high,low,high,1,flag-prime,money-prime,contact,1,5.5,3e3,3e6,5e3,3e4,4.5,5.833333333333333,2.6666666666666665,5.583333333333333,0,6,8,3,11,5,2,10,7,9,1,4,12,3,5,4,6,5,6,4,3,2,1,5,1,2,1,7,2
3,18,f,2,3,IN,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,NA,english,7,abington,1,1,4,two-six,1.7320508075688772,askedsecond,1,allowed,1,1,3,1,3.375,0,low,low,high,high,1,flag-prime,money-prime,contact,2,5.25,NA,1e6,45e3,136,4.375,6.166666666666667,3.1666666666666665,5.5,0,6,8,9,4,1,10,5,3,7,2,11,12,4,5,3,4,4,7,4,4,4,1,5,1,4,4,7,1
3,18,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,3,abington,1,0,9,three-six,6,askedsecond,0,forbidden,0,0,5,1,1.875,0,low,low,high,high,0,control,money-prime,control,2,5.25,NA,85e4,35e3,15e3,4.125,7,3.1666666666666665,5.916666666666667,0,9,10,3,1,7,11,6,5,4,8,2,12,4,4,5,7,3,3,6,1,2,1,2,1,4,2,2,1
4,18,f,2,3,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,3,other,13,abington,1,1,9,three-six,6,askedfirst,1,forbidden,0,0,5,1,1.75,1,low,high,high,low,0,control,control,control,NA,6,NA,3e6,2e4,500,3.75,3.6666666666666665,3.1666666666666665,4.25,0,5,4,10,9,2,8,6,3,7,1,11,12,1,4,4,4,4,5,4,4,1,1,1,1,4,1,1,4
4,18,f,2,6,UA,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,13,abington,1,1,9,three-six,3.1622776601683795,askedsecond,1,forbidden,0,0,2,1,2,1,low,low,low,high,0,flag-prime,money-prime,control,1,8,4500,5e5,2e4,4e4,3.25,7,2.6666666666666665,6.166666666666667,0,5,2,9,3,6,11,8,4,1,10,7,12,3,2,3,4,5,3,4,2,2,1,2,1,2,1,6,1
4,19,f,2,6,PR,0,0,10,female,runalone,coursecredit,unisubjpool,barriers,1,spanish,10,abington,1,0,6,three-six,3.1622776601683795,askedsecond,0,allowed,1,0,5,1,3.5,1,low,low,high,low,0,flag-prime,money-prime,contact,1,3.75,3e3,3e5,35e3,300,2.5,6.166666666666667,3,5.583333333333333,0,2,7,4,6,10,11,1,9,5,8,3,12,1,2,3,5,4,1,3,1,4,3,4,1,4,3,5,4
4,31,f,2,5,HT,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,10,abington,1,0,7,three-six,1.7320508075688772,askedfirst,1,forbidden,0,0,5,1,2.75,0,high,low,high,high,0,flag-prime,money-prime,contact,2,3.5,4e3,200500,45300,45e3,2.625,6.666666666666667,2.5,6.083333333333333,0,4,1,9,3,11,7,5,10,2,6,8,12,1,2,3,4,3,1,6,1,5,1,1,1,3,2,6,3
4,23,f,NA,8,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,3,english,10,abington,1,1,9,three-six,2.449489742783178,askedfirst,0,forbidden,0,0,9,1,3.4285714285714284,1,low,high,low,low,0,flag-prime,money-prime,contact,2,5,2500,42e5,NA,NA,2.75,4.666666666666667,3.6666666666666665,4.5,0,6,2,10,11,5,9,3,4,8,1,7,12,2,1,4,5,3,1,2,4,5,1,5,1,NA,4,7,1
5,18,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,NA,english,13,abington,1,1,1,two-six,1,askedsecond,0,allowed,1,1,9,1,3,0,high,high,low,low,1,control,control,control,2,1,3e3,2e6,7050,323,3.375,4,3,4.5,0,1,6,3,5,9,10,11,7,2,4,8,12,3,3,1,7,4,3,1,5,1,4,5,1,4,1,7,1
5,23,f,2,9,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,1,spanish,7,abington,1,1,4,two-six,1.4142135623730951,askedsecond,1,allowed,1,1,5,1,2.125,1,high,low,high,high,0,control,control,contact,1,7.75,3e3,300500,45e3,25e3,4,5,4,4.5,0,10,2,3,7,11,6,5,9,4,8,1,12,5,4,1,4,5,7,2,4,4,1,2,1,3,1,4,1
5,18,f,2,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,3,abington,1,1,7,two-six,2,askedsecond,1,forbidden,0,1,9,1,2.875,1,low,low,high,low,1,control,money-prime,control,1,5.75,NA,NA,37e3,300,4.75,7,5.333333333333333,4.833333333333333,0,7,3,8,9,2,4,10,11,5,1,6,12,5,2,4,7,7,4,6,3,2,1,4,1,4,3,6,2
5,19,f,2,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,1,9,three-six,1,askedfirst,0,allowed,NA,0,9,1,2.875,1,low,low,low,low,1,flag-prime,money-prime,control,1,4.25,2500,7e5,4e3,353,2.625,5.333333333333333,3,5.166666666666667,0,3,2,5,4,6,11,8,9,1,7,10,12,1,1,1,1,4,7,1,5,4,1,7,1,1,1,7,1
5,20,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,0,9,two-six,2,askedfirst,0,allowed,0,0,4,1,2.25,1,low,low,low,high,1,control,control,contact,2,4.75,NA,NA,NA,35e3,2.5,6,2.6666666666666665,5.666666666666667,0,11,6,2,8,3,4,10,9,7,5,1,12,2,2,3,2,2,1,4,4,2,3,4,1,2,4,1,1
5,20,m,3,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,10,abington,1,0,7,three-six,2.23606797749979,askedfirst,0,allowed,0,1,4,1,4.375,0,high,high,high,high,1,flag-prime,control,contact,2,5.25,2e3,78e4,42e3,1e4,4.25,5.166666666666667,5.5,3.8333333333333335,0,5,7,11,10,2,6,8,9,4,3,1,12,5,5,5,5,3,6,1,4,4,6,3,7,4,2,5,4
5,19,m,3,2,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,13,abington,1,0,9,three-six,3.1622776601683795,askedsecond,1,allowed,1,0,1,1,2.25,0,low,low,low,high,1,flag-prime,money-prime,contact,1,3.5,1800,25e4,NA,1e3,4.25,6.333333333333333,6.333333333333333,4,0,6,11,10,2,3,8,9,4,7,1,5,12,3,3,7,2,4,4,5,6,3,1,3,1,5,2,2,1
5,20,f,2,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,1,9,three-six,10,askedsecond,1,forbidden,0,0,5,1,2.5,1,low,high,low,high,0,control,money-prime,contact,1,5.75,3500,2e6,7e3,15e3,2.25,7,7,4,0,8,1,7,4,11,3,5,9,10,2,6,12,1,1,4,1,1,3,3,4,4,1,3,1,4,1,5,1
5,20,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,1,9,three-six,2.23606797749979,askedsecond,0,forbidden,1,0,3,1,3.625,1,high,high,high,low,0,flag-prime,control,control,1,3.25,3400,425600,30432,563,3.125,5,5.666666666666667,3.6666666666666665,0,7,1,6,5,3,9,11,2,8,10,4,12,2,3,4,6,3,3,1,3,3,2,3,2,3,6,6,4
5,19,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,11,abington,1,1,9,two-six,3.4641016151377544,askedsecond,1,allowed,1,1,5,1,4.625,0,high,high,low,low,0,flag-prime,control,control,1,4.25,2500,3e6,8e3,NA,2.75,7,2.8,6.181818181818182,1,1,2,7,9,3,4,6,5,10,11,8,12,3,1,1,6,7,1,1,2,5,7,6,3,6,2,7,1
5,20,m,3,2,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,2,abington,1,1,9,three-six,14.66287829861518,askedsecond,1,forbidden,0,1,2,1,2.125,1,high,low,high,high,1,control,control,contact,1,2.5,5e3,35e4,37e3,2e4,4,6.333333333333333,5.5,4.416666666666667,0,2,4,6,7,8,11,5,3,10,1,9,12,3,4,2,7,5,5,2,4,2,2,1,2,4,1,4,1
6,18,m,3,6,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,NA,english,NA,abington,1,1,5,three-six,1.7320508075688772,askedfirst,0,allowed,NA,1,8,1,5.375,0,high,high,high,low,0,control,money-prime,contact,2,3.5,5500,4e6,25e3,NA,5,4.166666666666667,4.166666666666667,4,0,8,10,5,6,7,11,3,4,9,2,1,12,6,4,5,7,5,7,2,4,2,5,6,7,6,7,7,3
6,19,m,3,9,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,1,english,10,abington,1,1,9,two-six,NA,askedsecond,0,allowed,0,0,4,1,1.75,0,high,high,high,high,0,control,control,contact,1,2.75,3e3,45e5,4e4,32e3,4.375,5.5,4.333333333333333,4.583333333333333,0,5,6,7,3,10,8,4,11,9,2,1,12,3,5,5,4,4,5,5,4,2,2,2,1,4,1,1,1
6,20,f,NA,9,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,3,english,10,abington,1,0,9,two-six,1.7320508075688772,askedsecond,0,forbidden,0,0,5,1,2.2857142857142856,1,high,high,high,high,1,control,control,contact,2,6.5,3e3,9e5,4e4,25e3,3.125,7,3,6,0,6,3,8,11,1,7,2,9,4,10,5,12,7,1,4,1,6,4,1,1,1,1,4,1,4,4,NA,1
6,22,m,3,6,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,NA,english,2,abington,1,1,7,two-six,2.449489742783178,askedsecond,1,forbidden,0,0,7,1,3.5,0,low,high,low,high,1,flag-prime,control,control,2,6,5e3,32e5,NA,2e4,3.125,6.166666666666667,2.6666666666666665,5.75,0,10,1,6,7,3,9,4,11,5,8,2,12,3,2,1,5,3,3,3,5,3,3,3,2,5,3,7,2
7,18,f,2,9,US,0,0,6,female,NA,coursecredit,unisubjpool,nobarriers,2,other,10,abington,1,1,8,three-six,4.242640687119285,askedfirst,1,allowed,1,1,4,1,3.625,0,low,low,low,high,0,flag-prime,money-prime,contact,2,4.25,5432,25e4,3e3,500,4.125,2.3333333333333335,6,2.1666666666666665,0,9,8,11,7,3,5,10,1,2,6,4,12,4,5,5,4,5,3,4,3,5,3,4,1,3,4,5,4
7,20,m,3,6,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,2,english,10,abington,1,0,8,two-six,2.6457513110645907,askedfirst,1,forbidden,0,0,1,1,3.25,1,low,low,high,low,0,flag-prime,control,contact,1,2.75,3e3,45e4,4e4,500,4.875,6.166666666666667,4.833333333333333,4.666666666666667,0,4,1,7,5,2,6,10,8,11,3,9,12,5,5,4,6,5,6,4,4,4,2,6,2,4,2,4,2
7,19,m,3,5,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,NA,english,NA,abington,1,1,1,three-six,1,askedfirst,0,forbidden,0,0,1,1,2.75,0,low,high,low,high,1,flag-prime,money-prime,contact,2,4.5,3e3,2e6,5e3,350,4,5.5,5.666666666666667,3.9166666666666665,0,3,9,8,10,11,5,2,6,1,7,4,12,5,6,5,4,5,3,1,3,4,1,3,1,4,4,1,4
7,18,m,3,6,US,0,0,6,female,runalone,coursecredit,unisubjpool,nobarriers,2,english,6,abington,1,0,9,two-six,NA,askedsecond,1,allowed,1,0,9,1,2,1,low,high,high,low,1,flag-prime,control,control,1,1.5,NA,2e6,5e3,NA,1.75,6.333333333333333,5.5,4.416666666666667,0,2,11,6,4,3,10,5,7,1,8,9,12,1,1,5,1,1,1,2,2,2,1,4,1,3,3,1,1
8,19,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,0,9,two-six,1.7320508075688772,askedsecond,1,allowed,1,1,5,1,3.5,0,high,low,low,low,1,flag-prime,money-prime,contact,2,4.25,5e3,4e5,5e3,500,2.875,6.833333333333333,2.8333333333333335,6,0,9,7,6,3,1,11,5,2,4,8,10,12,2,2,3,6,5,1,1,3,3,1,6,2,4,3,2,7
8,19,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,1,9,two-six,3.1622776601683795,askedsecond,0,allowed,1,1,9,1,3.375,0,high,low,low,low,1,flag-prime,money-prime,contact,2,5,4e3,45e4,1e4,200,2.75,7,3.1666666666666665,5.916666666666667,0,7,10,1,4,3,8,9,5,11,2,6,12,7,1,1,4,2,4,2,1,4,1,5,1,3,5,6,2
8,19,f,2,9,US,0,0,6,male,runalone,coursecredit,unisubjpool,separaterooms,1,english,7,abington,1,0,9,three-six,10,askedsecond,1,forbidden,0,0,1,1,3.375,1,low,high,low,high,1,control,money-prime,contact,2,1.25,NA,4e6,15e3,1e3,2,7,3,6,0,5,3,8,1,2,6,7,10,11,9,4,12,1,1,1,1,4,3,1,4,1,4,4,5,4,1,4,4
8,18,m,3,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,6,abington,1,0,9,three-six,1.4142135623730951,askedsecond,0,forbidden,0,0,9,1,3.875,0,low,high,low,high,1,control,control,contact,1,6.25,2300,3e5,2595,35e3,3.75,6.5,4.833333333333333,4.833333333333333,0,8,11,10,6,4,2,1,5,3,7,9,12,3,2,2,5,4,7,4,3,5,1,4,2,3,5,7,4
8,19,m,3,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,separaterooms,2,english,10,abington,1,0,9,three-six,1,askedfirst,1,allowed,1,1,4,1,2.375,1,high,low,high,low,0,control,money-prime,control,1,7.25,3e3,NA,32e3,2e3,2.375,5.166666666666667,2.5,5.333333333333333,0,4,11,6,3,9,7,5,8,10,1,2,12,2,2,3,1,5,2,2,2,3,1,2,1,6,1,3,2
8,20,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,1,abington,1,1,9,two-six,2.23606797749979,askedfirst,0,allowed,0,0,5,1,2.75,0,high,low,low,high,0,flag-prime,control,contact,1,2.25,2e3,3e5,3500,1e4,3.75,6.333333333333333,3.3333333333333335,5.5,0,3,10,5,8,1,7,11,2,6,9,4,12,3,2,5,7,4,1,3,5,5,1,3,1,4,3,4,1
8,18,m,3,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,separaterooms,2,english,7,abington,1,0,7,two-six,1.4142135623730951,askedfirst,0,allowed,1,1,7,1,2.75,1,low,low,low,low,0,flag-prime,money-prime,contact,1,6,3e3,35e4,4500,354,3.125,6,2.6666666666666665,5.666666666666667,0,8,2,6,10,5,1,3,7,9,4,11,12,4,3,3,4,3,3,3,2,4,1,4,1,4,3,3,2
9,23,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,0,4,three-six,3.872983346207417,askedfirst,0,allowed,1,0,5,1,2.875,1,high,low,low,high,1,control,control,control,1,3.75,4e3,5e5,NA,1e4,3.5,6.833333333333333,4.666666666666667,5.083333333333333,0,5,8,7,2,6,4,1,11,10,9,3,12,4,4,4,4,4,3,3,2,2,1,5,1,5,2,2,5
9,22,m,3,6,RU,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,9,abington,1,0,9,two-six,2.23606797749979,askedfirst,1,forbidden,0,0,5,1,3.5,1,high,low,high,high,1,control,control,contact,1,3,5e3,7e5,13e3,2e4,5.375,5,3.1666666666666665,4.916666666666667,0,5,8,7,10,2,11,6,1,3,4,9,12,4,6,5,7,6,5,5,5,1,2,1,5,5,3,7,4
9,26,m,3,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,0,9,two-six,3.7416573867739413,askedfirst,1,allowed,1,1,7,1,3.125,1,low,high,high,high,0,control,control,control,2,5.5,2600,3e6,31e3,38e3,2.5,6.5,2.5,6,0,2,4,10,3,5,9,8,1,6,11,7,12,1,2,4,5,3,1,2,2,2,3,2,3,3,7,2,3
9,18,f,NA,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,3,english,7,abington,1,1,9,three-six,1.4142135623730951,askedfirst,0,forbidden,1,0,6,1,5.375,0,low,low,high,low,1,control,money-prime,control,2,2.75,2400,275e3,4e4,400,4.25,6.166666666666667,2.1666666666666665,6,0,11,4,1,2,8,3,5,9,7,10,6,12,5,2,4,6,5,5,2,5,5,7,5,7,4,6,3,6
9,20,f,2,2,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,4,abington,1,1,9,three-six,7.0710678118654755,askedsecond,1,forbidden,0,0,6,1,3.25,0,high,high,high,high,0,flag-prime,control,contact,2,1.25,4e3,3e6,3e4,2e4,2.25,5.5,2.1666666666666665,5.666666666666667,0,5,3,1,2,4,10,8,7,11,6,9,12,1,3,4,1,3,1,1,4,4,1,2,1,5,3,7,3
9,19,f,2,2,US,0,0,6,female,runalone,coursecredit,unisubjpool,barriers,2,other,2,abington,1,0,9,three-six,4.47213595499958,askedfirst,1,forbidden,0,1,9,1,3.7142857142857144,1,high,low,low,high,0,control,control,contact,1,5,5489,256895,2156,250,3.375,4.333333333333333,2.8333333333333335,4.75,0,1,8,4,6,9,10,5,7,2,3,11,12,1,5,4,3,4,1,5,4,4,1,2,1,NA,7,7,4
9,18,f,2,9,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,1,english,9,abington,1,1,7,two-six,2.8284271247461903,askedsecond,1,forbidden,0,1,7,1,3.25,0,high,low,low,low,1,flag-prime,control,control,1,2.75,4050,4e5,4e3,1100,3.5,5.5,4.333333333333333,4.583333333333333,0,10,3,6,8,5,4,1,7,9,2,11,12,4,3,3,5,3,4,2,4,4,4,4,2,3,1,3,5
9,18,f,2,9,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,3,other,7,abington,1,0,9,two-six,1.4142135623730951,askedsecond,0,forbidden,0,0,5,1,2.875,0,low,low,low,low,0,control,money-prime,control,1,4.5,1800,200012,2100,110,4.125,4.333333333333333,6,3.1666666666666665,0,6,3,1,10,2,9,4,11,8,7,5,12,5,3,2,6,5,5,3,4,4,3,4,2,3,1,3,3
9,18,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,6,abington,1,1,8,two-six,2,askedsecond,0,forbidden,0,1,3,1,3.5,1,high,high,low,high,1,flag-prime,control,control,1,6.5,4500,3e6,3400,2e4,4.25,6.666666666666667,6,4.333333333333333,0,11,5,8,7,10,1,6,2,3,4,9,12,5,3,3,5,5,6,3,4,5,3,2,1,4,6,6,1
9,19,m,NA,NA,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,NA,NA,13,abington,1,0,5,three-six,1.4142135623730951,askedfirst,1,allowed,1,1,5,1,3.5,0,low,low,high,low,1,flag-prime,money-prime,contact,2,3.25,2500,NA,3e4,NA,3.875,4,4,4,0,1,2,6,4,11,9,10,5,7,8,3,12,4,4,4,5,3,3,4,4,4,4,3,4,4,4,4,1
10,20,f,2,9,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,3,english,10,abington,1,0,9,two-six,2,askedfirst,0,allowed,1,1,3,1,2.5,0,high,low,low,high,1,flag-prime,control,contact,1,8,5260,236745,2336,43109,4.25,6.333333333333333,7,3.6666666666666665,0,1,8,4,10,3,11,9,5,6,7,2,12,5,4,3,6,5,5,4,2,4,1,3,1,3,1,4,3
10,18,f,2,3,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,1,abington,1,0,9,three-six,10,askedsecond,1,forbidden,0,1,5,1,3,1,low,high,high,high,1,control,control,control,2,2,1550,3e6,39e3,49500,4,5.5,5.5,4,0,9,4,8,7,1,10,2,6,5,11,3,12,6,5,4,2,5,5,3,2,4,3,5,2,3,3,3,1
10,18,m,3,2,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,13,abington,1,1,7,two-six,2.23606797749979,askedsecond,0,allowed,1,0,5,1,4,0,high,high,low,high,0,control,money-prime,control,1,3,5e3,35e5,NA,1e3,4.375,4.333333333333333,4.666666666666667,3.8333333333333335,0,2,8,7,9,6,10,1,11,5,3,4,12,3,4,4,6,5,6,4,3,4,4,5,5,3,2,6,3
11,18,f,2,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,7,abington,1,1,1,three-six,2.449489742783178,askedfirst,1,forbidden,0,1,9,1,2.75,1,high,low,high,low,0,control,money-prime,contact,1,3.5,3500,4e5,30500,500,5,6.166666666666667,4.5,4.833333333333333,0,1,11,2,6,10,8,4,3,9,7,5,12,4,5,5,7,7,5,2,5,2,3,5,1,2,1,7,1
11,18,f,2,3,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,13,abington,1,1,9,two-six,NA,askedsecond,1,allowed,1,0,5,1,3.125,0,low,low,low,low,1,flag-prime,control,control,1,2,5e3,25e4,4e4,400,3.625,5,3.5,4.75,0,4,5,3,8,2,6,7,10,1,9,11,12,4,3,2,4,4,5,4,3,4,5,4,1,3,1,2,5
11,25,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,0,9,two-six,1.7320508075688772,askedfirst,1,allowed,1,0,4,1,2.625,1,high,low,low,high,1,flag-prime,money-prime,contact,1,5.25,3600,NA,NA,24e3,2.375,6.333333333333333,4.333333333333333,5,0,11,3,7,4,10,9,1,5,2,8,6,12,2,2,4,2,3,1,3,2,1,1,2,1,3,6,4,3
11,21,f,2,2,JP,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,10,abington,1,0,9,two-six,1.4142135623730951,askedfirst,1,allowed,1,0,4,1,3,0,high,high,low,high,0,control,money-prime,contact,1,5.75,4500,4e6,5e3,25e3,4.5,6.333333333333333,3,5.666666666666667,0,11,2,9,5,8,4,1,10,6,3,7,12,5,4,4,5,4,5,4,5,4,3,4,1,4,3,1,4
